attack,alpha,component,n_runs,err_all_mean,err_all_std,err_all_min,err_all_max,err_static_mean,err_static_std,err_static_min,err_static_max,err_dynamic_mean,err_dynamic_std,err_dynamic_min,err_dynamic_max,err_accepted_mean,err_accepted_std,err_accepted_min,err_accepted_max,contamination_mean,contamination_std,contamination_min,contamination_max,n_confound_mean,n_confound_std,n_confound_min,n_confound_max,best_set_majority,best_set_agreement
gaussian_noise,0.25,Dsim,3,0.20064950509339008,0.0050412096520352076,0.1948914463192161,0.2042683750853654,0.012432824953138617,0.0034419525905778395,0.009565077764863176,0.01624977579820406,0.012765223944151765,0.0024208286995574856,0.010908222584616722,0.015503164055239091,0.011635471773009049,0.00138791304741128,0.010548211210759734,0.01319875933945434,0.20064950509339008,0.0050412096520352076,0.1948914463192161,0.2042683750853654,3.8221740587355646e-17,5.95981243285111e-18,3.469446951953614e-17,4.5102810375396984e-17,accepted,0.6667
gaussian_noise,0.5,DCV,3,0.5681699747818671,0.012815915767762942,0.5583346920991075,0.5826635290238038,0.03514563839573732,0.007116580093165039,0.030955648117051315,0.043362618370149784,0.02190127615836331,0.0018406266614925553,0.019870259121284133,0.02345912576267625,0.015284935974533523,0.0030807637076808686,0.011734947198004497,0.01725814687939552,0.5681699747818671,0.012815915767762942,0.5583346920991075,0.5826635290238038,3.446317305607257e-17,9.420895477811284e-18,2.3592239273284576e-17,4.0245584642661923e-17,accepted,1.0
gaussian_noise,0.5,Dcluster,3,0.6451125635468418,0.00931185357795609,0.6373468482692128,0.6554359853478546,0.04954436872150849,0.007062316859410999,0.042963376065486024,0.05700550303054308,0.03268610240235375,0.0014022521701831546,0.031139398646665838,0.03387429372852568,0.025358967098226003,0.002707713649087824,0.022336056530166615,0.027561958338365465,0.6451125635468419,0.009311853577956074,0.6373468482692128,0.6554359853478546,3.469446951953614e-17,1.1102230246251564e-17,2.3592239273284576e-17,4.5796699765787705e-17,accepted,1.0
gaussian_noise,0.5,Dsim,3,0.200292903118372,0.005020999368917429,0.194968872391838,0.20494274575780275,0.008392089960019855,0.001116930758081688,0.007103523411430834,0.00908361205036606,0.008074554318363866,0.0011084784899724263,0.006982957754640631,0.009199176640225784,0.005100441946300222,0.001007695216040009,0.0040986335461128814,0.006113922575246684,0.200292903118372,0.005020999368917429,0.194968872391838,0.20494274575780275,2.821816854255606e-17,3.994889014363705e-18,2.4806545706468343e-17,3.2612801348363975e-17,accepted,1.0
gaussian_noise,1.0,DCV,3,0.5851172434576885,0.005569226206732583,0.5790153271478162,0.5899263948762459,0.02727836118969749,0.003176418409622147,0.02388863839504061,0.03018646965358911,0.02610621543301468,0.0034706581612435213,0.02228494906471763,0.029062750419005835,0.015150619134740606,0.0012547333005012542,0.013723138230099208,0.016079020611818717,0.5851172434576885,0.005569226206732583,0.5790153271478162,0.5899263948762459,3.608224830031759e-17,6.938893903907235e-19,3.538835890992686e-17,3.677613769070831e-17,accepted,1.0
gaussian_noise,1.0,Dcluster,3,0.6903665785039145,0.0067536948992061585,0.6826629824918815,0.6952687817432128,0.03794101178909332,0.001904323931014318,0.036255210302695726,0.04000661635807274,0.03613121550001696,0.003047743988584686,0.033610548713045765,0.03951838283900684,0.026212531057463493,0.0023643054050592684,0.023714387925411785,0.028415227663654313,0.6903665785039145,0.0067536948992061585,0.6826629824918815,0.6952687817432128,3.1687615494509675e-17,5.208023942288819e-18,2.6367796834847467e-17,3.677613769070831e-17,accepted,1.0
gaussian_noise,1.0,Dsim,3,0.21550117893172346,0.003357786803811611,0.2116367687132943,0.21770629880350442,0.0047691453852805625,0.0009603503613858034,0.004119793855881938,0.005872300282689669,0.003988818478108121,0.0005736646453754195,0.0034709903697436144,0.004605477781028123,0.0017885339147705199,0.00010360448319427399,0.0016824907472407524,0.0018895140629753746,0.21550117893172346,0.0033577868038115973,0.21163676871329434,0.21770629880350448,4.079491374338791e-17,3.937032542730983e-18,3.7383290907300194e-17,4.5102810375396984e-17,accepted,1.0
label_flip,0.1,DCV,3,0.027901987774391356,0.00828284211192898,0.019633828721438696,0.03619943527132764,0.038102723570813284,0.009574374446846123,0.028538999965465585,0.047687713432242845,0.043600475616017764,0.005681176480942563,0.0372010530091998,0.04804971040144912,0.05081814245054359,0.0046713032072829225,0.04544354462021954,0.05390084909966984,0.027901987774391342,0.008282842111929005,0.01963382872143866,0.03619943527132766,6.29126380620922e-17,1.24385036157533e-17,4.85722573273506e-17,7.077671781985372e-17,all,1.0
label_flip,0.1,Dcluster,3,0.04069714549262064,0.013467838445366595,0.027679548829365457,0.05457407148499761,0.057026300502839855,0.008261606617768551,0.05009041407939037,0.06616647903650902,0.06035152396383975,0.0060155378999624245,0.05449162660459104,0.06651147240045896,0.10600460596852994,0.005705664519643759,0.09943321944284408,0.10969928206505608,0.040697145492620636,0.013467838445366595,0.027679548829365443,0.0545740714849976,5.551115123125783e-17,4.1633363423443346e-18,5.134781488891349e-17,5.967448757360216e-17,all,1.0
label_flip,0.1,Dsim,3,0.009638674443532474,0.0005995310696163749,0.009175156686119674,0.01031574329277357,0.01546976192119085,0.002670234154773449,0.01253897178384153,0.017764616042158413,0.036991871352097846,0.0027077185526732587,0.03386730702025872,0.03865194443088758,0.060814140442383396,0.0069575600538874715,0.05367439188532112,0.06757394180627181,0.009638674443532474,0.0005995310696163718,0.009175156686119679,0.010315743292773566,3.6544841227244736e-17,3.1480969657068473e-18,3.3653635433950055e-17,3.9898639947466563e-17,all,1.0
