config,attack,alpha,avg_DR_mean,avg_DR_std,avg_DR_min,avg_DR_max,avg_DR_n,avg_FPR_mean,avg_FPR_std,avg_FPR_min,avg_FPR_max,avg_FPR_n,final_acc_mean,final_acc_std,final_acc_min,final_acc_max,final_acc_n,avg_ASR_mean,avg_ASR_std,avg_ASR_min,avg_ASR_max,avg_ASR_n,warmup_ok_all
C3,alie,0.1,0.3169146825396825,0.03091242460705603,0.2812202380952381,0.3348511904761905,3,0.3930017924899891,0.03737399092832488,0.35627443301882156,0.43099048171900345,3,0.4975,0.11114517533388482,0.4155,0.624,3,,,,,0,True
C3,alie,1.0,0.0,0.0,0.0,0.0,3,0.009963081723917638,0.0025362222674601125,0.007353801169590643,0.012419314216914836,3,0.7401666666666666,0.004252450274057723,0.736,0.7445,3,,,,,0,True
C3,gaussian_noise,0.1,1.0,0.0,1.0,1.0,3,0.28876750621526165,0.020686872460541975,0.2653020241497409,0.30437000896849964,3,0.61,0.0506186724440695,0.5675,0.666,3,,,,,0,True
C3,gaussian_noise,1.0,1.0,0.0,1.0,1.0,3,0.0004385964912280702,0.0007596714068284549,0.0,0.0013157894736842105,3,0.7978333333333333,0.001527525231651948,0.7965,0.7995,3,,,,,0,True
C3,label_flip,0.1,0.33594246031746033,0.020793946612005804,0.32031746031746033,0.3595436507936508,3,0.35748232918898554,0.005367018606590747,0.3533935328517372,0.36355986473536783,3,0.6081666666666666,0.04051645756150624,0.567,0.648,3,,,,,0,True
C3,label_flip,1.0,0.017582972582972582,0.020572962260794463,0.0,0.04020833333333333,3,0.009768851253951874,0.006012703594218907,0.0029411764705882353,0.0142734440267335,3,0.6673333333333332,0.07850053078376817,0.601,0.754,3,,,,,0,True
C3,minmax,0.1,0.3205802068302068,0.09799185163634848,0.26109126984126985,0.4336805555555555,3,0.20920168736635456,0.08071195183691139,0.1511488893803135,0.3013693854734877,3,0.10366666666666667,0.0027537852736430456,0.1005,0.1055,3,,,,,0,True
C3,minmax,1.0,0.909808201058201,0.008449337455383905,0.9000595238095238,0.9150198412698411,3,0.03250366520877357,0.008093443017033209,0.02622065273477812,0.04163655155044474,3,0.3941666666666666,0.2040590192403495,0.159,0.5245,3,,,,,0,True
C3,on_off,0.1,0.4702056277056277,0.034444166172854646,0.43156926406926405,0.4976984126984127,3,0.33327694156835025,0.006884832963291564,0.3268140940586761,0.34051768278161465,3,0.6118333333333333,0.02458319208998971,0.5835,0.6275,3,,,,,0,True
C3,on_off,1.0,0.20000000000000004,3.3993498887762956e-17,0.2,0.2,3,0.008538600381673136,0.0032194862883586466,0.005703044375644994,0.012038398692810457,3,0.7911666666666667,0.01290671659769959,0.7825,0.806,3,,,,,0,True
C3,sign_flip,0.1,0.9958333333333332,0.007216878364870297,0.9875,1.0,3,0.2917857323991225,0.019329329871713263,0.2725391757580225,0.3111967855630781,3,0.45316666666666666,0.30199558495668993,0.1045,0.6325,3,,,,,0,True
C3,sign_flip,1.0,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,0.7879999999999999,0.014080127840328704,0.772,0.7985,3,,,,,0,True
C3,slow_poison,0.1,0.7989021164021164,0.002666535520127985,0.7963988095238095,0.8017063492063492,3,0.43409050096646845,0.052749712773395165,0.38167872192736746,0.48717177441151904,3,0.6001666666666666,0.056688476195196257,0.541,0.654,3,,,,,0,True
C3,slow_poison,1.0,0.7554945286195286,0.020069490977615168,0.7339980158730158,0.7737400793650794,3,0.0005208333333333333,0.0009021097956087903,0.0,0.0015625,3,0.7906666666666666,0.010750968948580074,0.78,0.8015,3,,,,,0,True
