dataset,attack,alpha,round,n_seeds,L1_DR,L1_FPR,L2_DR,L2_FPR,Final_DR,Final_FPR
cifar-10,alie,1.0,15,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,16,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,17,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,18,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,19,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,20,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,21,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,22,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,23,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,24,3,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0,0.018867924528301886
cifar-10,alie,1.0,25,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,26,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,27,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,28,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,29,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,30,3,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332
cifar-10,alie,1.0,31,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,32,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,33,3,0.0,0.0196078431372549,0.0,0.0196078431372549,0.0,0.0196078431372549
cifar-10,alie,1.0,34,3,0.0,0.0196078431372549,0.0,0.0196078431372549,0.0,0.0196078431372549
cifar-10,alie,1.0,35,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,36,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,37,3,0.0,0.018518518518518517,0.0,0.018518518518518517,0.0,0.018518518518518517
cifar-10,alie,1.0,38,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,39,3,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.019230769230769232
cifar-10,alie,1.0,40,3,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.022222222222222223
cifar-10,alie,1.0,41,3,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.02040816326530612
cifar-10,alie,1.0,42,3,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0,0.018867924528301886
cifar-10,alie,1.0,43,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,44,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,45,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,46,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,47,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,48,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,49,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,50,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,gaussian_noise,0.1,11,3,0.631578947368421,0.0,1.0,0.22641509433962265,1.0,0.22641509433962265
cifar-10,gaussian_noise,0.1,12,3,0.85,0.0,1.0,0.25,1.0,0.25
cifar-10,gaussian_noise,0.1,13,3,1.0,0.0,1.0,0.2631578947368421,1.0,0.2631578947368421
cifar-10,gaussian_noise,0.1,14,3,0.5416666666666666,0.0,1.0,0.14583333333333334,1.0,0.14583333333333334
cifar-10,gaussian_noise,0.1,15,3,1.0,0.0,1.0,0.4,1.0,0.4
cifar-10,gaussian_noise,0.1,16,3,1.0,0.0,1.0,0.2962962962962963,1.0,0.2962962962962963
cifar-10,gaussian_noise,0.1,17,3,1.0,0.0,1.0,0.26,1.0,0.26
cifar-10,gaussian_noise,0.1,18,3,1.0,0.0,1.0,0.27450980392156865,1.0,0.27450980392156865
cifar-10,gaussian_noise,0.1,19,3,1.0,0.0,1.0,0.22641509433962265,1.0,0.22641509433962265
cifar-10,gaussian_noise,0.1,20,3,1.0,0.0,1.0,0.3469387755102041,1.0,0.3469387755102041
cifar-10,gaussian_noise,0.1,21,3,1.0,0.0,1.0,0.30612244897959184,1.0,0.30612244897959184
cifar-10,gaussian_noise,0.1,22,3,1.0,0.0,1.0,0.2857142857142857,1.0,0.2857142857142857
cifar-10,gaussian_noise,0.1,23,3,0.8695652173913043,0.0,1.0,0.24489795918367346,1.0,0.24489795918367346
cifar-10,gaussian_noise,0.1,24,3,1.0,0.0,1.0,0.2830188679245283,1.0,0.2830188679245283
cifar-10,gaussian_noise,0.1,25,3,0.6086956521739131,0.0,1.0,0.2857142857142857,1.0,0.2857142857142857
cifar-10,gaussian_noise,0.1,26,3,0.55,0.019230769230769232,1.0,0.2692307692307692,1.0,0.2692307692307692
cifar-10,gaussian_noise,0.1,27,3,0.8461538461538461,0.0,1.0,0.2826086956521739,1.0,0.2826086956521739
cifar-10,gaussian_noise,0.1,28,3,1.0,0.0,1.0,0.2708333333333333,1.0,0.2708333333333333
cifar-10,gaussian_noise,0.1,29,3,0.5238095238095238,0.0,1.0,0.37254901960784315,1.0,0.37254901960784315
cifar-10,gaussian_noise,0.1,30,3,0.6,0.0,1.0,0.25,1.0,0.25
cifar-10,gaussian_noise,0.1,31,3,1.0,0.0,1.0,0.24528301886792453,1.0,0.24528301886792453
cifar-10,gaussian_noise,0.1,32,3,1.0,0.0,1.0,0.29411764705882354,1.0,0.29411764705882354
cifar-10,gaussian_noise,0.1,33,3,0.6086956521739131,0.0,1.0,0.2857142857142857,1.0,0.2857142857142857
cifar-10,gaussian_noise,0.1,34,3,1.0,0.0,1.0,0.2549019607843137,1.0,0.2549019607843137
cifar-10,gaussian_noise,0.1,35,3,0.5416666666666666,0.0,1.0,0.3541666666666667,1.0,0.3541666666666667
cifar-10,gaussian_noise,0.1,36,3,0.625,0.0,1.0,0.3541666666666667,1.0,0.3541666666666667
cifar-10,gaussian_noise,0.1,37,3,0.5714285714285714,0.0,1.0,0.2549019607843137,1.0,0.2549019607843137
cifar-10,gaussian_noise,0.1,38,3,1.0,0.0,1.0,0.27450980392156865,1.0,0.27450980392156865
cifar-10,gaussian_noise,0.1,39,3,0.5833333333333334,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333
cifar-10,gaussian_noise,0.1,40,3,1.0,0.0,1.0,0.30612244897959184,1.0,0.30612244897959184
cifar-10,gaussian_noise,0.1,41,3,1.0,0.0,1.0,0.29411764705882354,1.0,0.29411764705882354
cifar-10,gaussian_noise,0.1,42,3,1.0,0.0,1.0,0.38,1.0,0.38
cifar-10,gaussian_noise,0.1,43,3,1.0,0.0,1.0,0.28846153846153844,1.0,0.28846153846153844
cifar-10,gaussian_noise,0.1,44,3,1.0,0.0,1.0,0.21568627450980393,1.0,0.21568627450980393
cifar-10,gaussian_noise,0.1,45,3,1.0,0.0,1.0,0.30612244897959184,1.0,0.30612244897959184
cifar-10,gaussian_noise,0.1,46,3,1.0,0.0,1.0,0.28846153846153844,1.0,0.28846153846153844
cifar-10,gaussian_noise,0.1,47,3,1.0,0.0,1.0,0.35185185185185186,1.0,0.35185185185185186
cifar-10,gaussian_noise,0.1,48,3,0.47619047619047616,0.0,1.0,0.29411764705882354,1.0,0.29411764705882354
cifar-10,gaussian_noise,0.1,49,3,1.0,0.0,1.0,0.27450980392156865,1.0,0.27450980392156865
cifar-10,gaussian_noise,0.1,50,3,1.0,0.0,1.0,0.25,1.0,0.25
cifar-10,gaussian_noise,0.25,11,3,1.0,0.0196078431372549,1.0,0.058823529411764705,1.0,0.058823529411764705
cifar-10,gaussian_noise,0.25,12,3,1.0,0.0,1.0,0.02040816326530612,1.0,0.02040816326530612
cifar-10,gaussian_noise,0.25,13,3,1.0,0.037037037037037035,1.0,0.07407407407407407,1.0,0.07407407407407407
cifar-10,gaussian_noise,0.25,14,3,1.0,0.020833333333333332,1.0,0.08333333333333333,1.0,0.08333333333333333
cifar-10,gaussian_noise,0.25,15,3,1.0,0.018867924528301886,1.0,0.03773584905660377,1.0,0.03773584905660377
cifar-10,gaussian_noise,0.25,16,3,1.0,0.0,1.0,0.057692307692307696,1.0,0.057692307692307696
cifar-10,gaussian_noise,0.25,17,3,1.0,0.0,1.0,0.08163265306122448,1.0,0.08163265306122448
cifar-10,gaussian_noise,0.25,18,3,1.0,0.02,1.0,0.14,1.0,0.14
cifar-10,gaussian_noise,0.25,19,3,1.0,0.0,1.0,0.13725490196078433,1.0,0.13725490196078433
cifar-10,gaussian_noise,0.25,20,3,1.0,0.0196078431372549,1.0,0.11764705882352941,1.0,0.11764705882352941
cifar-10,gaussian_noise,0.25,21,3,1.0,0.04,1.0,0.12,1.0,0.12
cifar-10,gaussian_noise,0.25,22,3,1.0,0.0,1.0,0.08333333333333333,1.0,0.08333333333333333
cifar-10,gaussian_noise,0.25,23,3,1.0,0.0,1.0,0.08,1.0,0.08
cifar-10,gaussian_noise,0.25,24,3,1.0,0.0196078431372549,1.0,0.09803921568627451,1.0,0.09803921568627451
cifar-10,gaussian_noise,0.25,25,3,1.0,0.02,1.0,0.1,1.0,0.1
cifar-10,gaussian_noise,0.25,26,3,1.0,0.0,1.0,0.018518518518518517,1.0,0.018518518518518517
cifar-10,gaussian_noise,0.25,27,3,1.0,0.04081632653061224,1.0,0.10204081632653061,1.0,0.10204081632653061
cifar-10,gaussian_noise,0.25,28,3,1.0,0.0196078431372549,1.0,0.09803921568627451,1.0,0.09803921568627451
cifar-10,gaussian_noise,0.25,29,3,1.0,0.019230769230769232,1.0,0.09615384615384616,1.0,0.09615384615384616
cifar-10,gaussian_noise,0.25,30,3,1.0,0.0,1.0,0.09803921568627451,1.0,0.09803921568627451
cifar-10,gaussian_noise,0.25,31,3,1.0,0.0,1.0,0.11764705882352941,1.0,0.11764705882352941
cifar-10,gaussian_noise,0.25,32,3,1.0,0.0,1.0,0.11363636363636363,1.0,0.11363636363636363
cifar-10,gaussian_noise,0.25,33,3,1.0,0.0,1.0,0.12,1.0,0.12
cifar-10,gaussian_noise,0.25,34,3,1.0,0.0,1.0,0.16981132075471697,1.0,0.16981132075471697
cifar-10,gaussian_noise,0.25,35,3,1.0,0.0,1.0,0.0392156862745098,1.0,0.0392156862745098
cifar-10,gaussian_noise,0.25,36,3,1.0,0.0,1.0,0.041666666666666664,1.0,0.041666666666666664
cifar-10,gaussian_noise,0.25,37,3,1.0,0.0,1.0,0.08333333333333333,1.0,0.08333333333333333
cifar-10,gaussian_noise,0.25,38,3,1.0,0.0,1.0,0.09615384615384616,1.0,0.09615384615384616
cifar-10,gaussian_noise,0.25,39,3,1.0,0.0,1.0,0.061224489795918366,1.0,0.061224489795918366
cifar-10,gaussian_noise,0.25,40,3,1.0,0.0,1.0,0.08695652173913043,1.0,0.08695652173913043
cifar-10,gaussian_noise,0.25,41,3,1.0,0.0,1.0,0.08163265306122448,1.0,0.08163265306122448
cifar-10,gaussian_noise,0.25,42,3,1.0,0.05660377358490566,1.0,0.09433962264150944,1.0,0.09433962264150944
cifar-10,gaussian_noise,0.25,43,3,1.0,0.0,1.0,0.1111111111111111,1.0,0.1111111111111111
cifar-10,gaussian_noise,0.25,44,3,1.0,0.0,1.0,0.0784313725490196,1.0,0.0784313725490196
cifar-10,gaussian_noise,0.25,45,3,1.0,0.03571428571428571,1.0,0.08928571428571429,1.0,0.08928571428571429
cifar-10,gaussian_noise,0.25,46,3,1.0,0.0,1.0,0.057692307692307696,1.0,0.057692307692307696
