dataset,attack,alpha,round,l1_median_mean,l1_mad_mean,l1_thr_reject_mean,l2_thr_distance_mean,n_seeds
cifar-10,gaussian_noise,0.25,33,142.84843333333333,46.0853,327.1897666666667,139.9366666666667,3
cifar-10,gaussian_noise,0.25,34,143.72029999999998,51.531299999999995,349.84549999999996,149.5533333333333,3
cifar-10,gaussian_noise,0.25,35,137.4207,41.8936,304.9950666666667,141.57333333333335,3
cifar-10,gaussian_noise,0.25,36,148.63613333333333,59.39476666666667,386.21523333333334,154.45666666666668,3
cifar-10,gaussian_noise,0.25,37,143.0906666666667,50.91673333333333,346.75753333333336,146.68666666666667,3
cifar-10,gaussian_noise,0.25,38,141.18926666666667,42.02263333333334,309.27973333333335,138.55666666666667,3
cifar-10,gaussian_noise,0.25,39,141.25356666666667,57.68403333333333,371.9897,145.59333333333333,3
cifar-10,gaussian_noise,0.25,40,144.06943333333334,53.83566666666667,359.41200000000003,151.74666666666667,3
cifar-10,gaussian_noise,0.25,41,139.81286666666668,47.44926666666667,329.60996666666665,147.60666666666665,3
cifar-10,gaussian_noise,0.25,42,137.157,31.8019,264.36473333333333,134.1,3
cifar-10,gaussian_noise,0.25,43,143.26160000000002,41.945033333333335,311.0417,143.09666666666666,3
cifar-10,gaussian_noise,0.25,44,142.8276,45.82816666666667,326.1401333333333,144.84333333333333,3
cifar-10,gaussian_noise,0.25,45,139.91593333333333,37.488566666666664,289.87010000000004,129.33333333333334,3
cifar-10,gaussian_noise,0.25,46,138.74626666666666,40.0337,298.88103333333333,140.57666666666668,3
cifar-10,gaussian_noise,0.25,47,145.4266,50.34426666666667,346.80356666666665,149.91666666666666,3
cifar-10,gaussian_noise,0.25,48,142.25703333333334,55.99796666666666,366.2489333333333,157.84,3
cifar-10,gaussian_noise,0.25,49,147.02146666666667,53.1714,359.70696666666663,143.53333333333333,3
cifar-10,gaussian_noise,0.25,50,141.1734,49.295700000000004,338.35623333333336,139.84,3
cifar-10,gaussian_noise,0.5,11,139.65453333333332,37.190533333333335,288.4166,125.11,3
cifar-10,gaussian_noise,0.5,12,140.55723333333333,36.5124,286.6069,118.95666666666666,3
cifar-10,gaussian_noise,0.5,13,147.29186666666666,56.664899999999996,373.9514,128.85666666666665,3
cifar-10,gaussian_noise,0.5,14,141.7762,40.94156666666667,305.5425666666667,130.02666666666667,3
cifar-10,gaussian_noise,0.5,15,139.47973333333334,37.781,290.6036666666667,131.75333333333333,3
cifar-10,gaussian_noise,0.5,16,140.13110000000003,36.918733333333336,287.8061333333333,133.79333333333332,3
cifar-10,gaussian_noise,0.5,17,137.12606666666667,37.71216666666667,287.9746666666667,130.39000000000001,3
cifar-10,gaussian_noise,0.5,18,138.5340666666667,30.173433333333335,259.2278,124.37333333333333,3
cifar-10,gaussian_noise,0.5,19,139.0108,37.008766666666666,287.04586666666665,128.96,3
cifar-10,gaussian_noise,0.5,20,149.78793333333334,37.29796666666667,298.9796666666667,130.52333333333334,3
cifar-10,gaussian_noise,0.5,21,140.42913333333334,32.85916666666666,271.8657,124.82666666666667,3
cifar-10,gaussian_noise,0.5,22,145.7446666666667,32.36326666666667,275.19773333333336,128.80666666666667,3
cifar-10,gaussian_noise,0.5,23,155.35853333333333,55.51143333333332,377.4042666666667,147.45333333333335,3
cifar-10,gaussian_noise,0.5,24,152.9838,48.356766666666665,346.41093333333333,140.01,3
cifar-10,gaussian_noise,0.5,25,140.71783333333335,35.41076666666667,282.3609333333333,131.09333333333333,3
cifar-10,gaussian_noise,0.5,26,142.34583333333333,42.47756666666667,312.25606666666664,138.20666666666668,3
cifar-10,gaussian_noise,0.5,27,138.60573333333332,34.22886666666667,275.52133333333336,122.35333333333334,3
cifar-10,gaussian_noise,0.5,28,154.78959999999998,38.8923,310.3589,134.82333333333335,3
cifar-10,gaussian_noise,0.5,29,161.86780000000002,57.39086666666666,391.4313666666667,154.37,3
cifar-10,gaussian_noise,0.5,30,141.9205,36.996566666666666,289.9068,131.91333333333333,3
cifar-10,gaussian_noise,0.5,31,148.3704,54.67466666666667,367.069,144.01,3
cifar-10,gaussian_noise,0.5,32,147.47676666666666,41.816300000000005,314.74206666666663,135.37,3
cifar-10,gaussian_noise,0.5,33,153.40403333333333,59.97073333333333,393.2869333333333,149.86333333333334,3
cifar-10,gaussian_noise,0.5,34,143.31246666666667,42.2267,312.2192,130.67333333333332,3
cifar-10,gaussian_noise,0.5,35,142.18723333333332,39.673399999999994,300.88096666666667,128.23666666666668,3
cifar-10,gaussian_noise,0.5,36,160.51633333333334,56.3323,385.84549999999996,156.33,3
cifar-10,gaussian_noise,0.5,37,143.92406666666668,39.60996666666667,302.36396666666667,136.89,3
cifar-10,gaussian_noise,0.5,38,168.91049999999998,84.73053333333333,507.83276666666666,168.73333333333332,3
cifar-10,gaussian_noise,0.5,39,149.7322,34.0863,286.0774333333333,139.34666666666666,3
cifar-10,gaussian_noise,0.5,40,142.82500000000002,41.86613333333333,310.28956666666664,137.59666666666666,3
cifar-10,gaussian_noise,0.5,41,154.88353333333336,55.947966666666666,378.6754,150.17333333333332,3
cifar-10,gaussian_noise,0.5,42,149.32090000000002,46.28856666666667,334.47516666666667,139.21333333333334,3
cifar-10,gaussian_noise,0.5,43,143.64446666666666,35.673899999999996,286.3401333333333,142.00333333333333,3
cifar-10,gaussian_noise,0.5,44,140.8160333333333,38.068533333333335,293.0901,129.08333333333334,3
cifar-10,gaussian_noise,0.5,45,142.40026666666668,46.1629,327.0519,141.01333333333332,3
