dataset,attack,alpha,module,n_seeds,DR_mean,DR_std,FPR_mean,FPR_std
cifar-10,on_off,1.0,L2,3,0.19263057430353148,0.010778673663712615,0.00749250262334154,0.0026827571224568927
cifar-10,on_off,1.0,Final,3,0.19263057430353148,0.010778673663712615,0.00749250262334154,0.0026827571224568927
cifar-10,sign_flip,0.1,L1,3,1.0,0.0,0.0,0.0
cifar-10,sign_flip,0.1,L2,3,1.0,0.0,0.2757766269370761,0.028970766721698276
cifar-10,sign_flip,0.1,Final,3,1.0,0.0,0.2757766269370761,0.028970766721698276
cifar-10,sign_flip,0.25,L1,3,1.0,0.0,0.009874599552491207,0.003351671557622047
cifar-10,sign_flip,0.25,L2,3,1.0,0.0,0.09251829873169552,0.004075926872846049
cifar-10,sign_flip,0.25,Final,3,1.0,0.0,0.09251829873169552,0.004075926872846049
cifar-10,sign_flip,0.5,L1,3,1.0,0.0,0.0,0.0
cifar-10,sign_flip,0.5,L2,3,1.0,0.0,0.008847414664221917,0.0014197788121419605
cifar-10,sign_flip,0.5,Final,3,1.0,0.0,0.008847414664221917,0.0014197788121419605
cifar-10,sign_flip,1.0,L1,3,1.0,0.0,0.0,0.0
cifar-10,sign_flip,1.0,L2,3,1.0,0.0,0.0,0.0
cifar-10,sign_flip,1.0,Final,3,1.0,0.0,0.0,0.0
cifar-10,slow_poison,0.1,L1,3,0.003580238756001938,3.9292460188783106e-05,0.03964601262540932,0.009479502650216132
cifar-10,slow_poison,0.1,L2,3,0.8079515586684874,0.014929341542280733,0.4347283740904114,0.049242991584726815
cifar-10,slow_poison,0.1,Final,3,0.8079515586684874,0.014929341542280733,0.4347283740904114,0.049242991584726815
cifar-10,slow_poison,0.25,L1,3,0.003436426116838488,0.005952064630820884,0.03832815928925586,0.004581125437213073
cifar-10,slow_poison,0.25,L2,3,0.7718629187613986,0.029097850416545157,0.0935946293681492,0.006882254002985181
cifar-10,slow_poison,0.25,Final,3,0.7718629187613986,0.029097850416545157,0.0935946293681492,0.006882254002985181
cifar-10,slow_poison,0.5,L1,3,0.0035155689481991674,0.0036279801635157216,0.0019693449758338005,0.002226929100966834
cifar-10,slow_poison,0.5,L2,3,0.8127492399988396,0.014865795100396137,0.014583997085909609,0.0071457497950750525
cifar-10,slow_poison,0.5,Final,3,0.8127492399988396,0.014865795100396137,0.014583997085909609,0.0071457497950750525
cifar-10,slow_poison,1.0,L1,3,0.0,0.0,0.0019993022626232644,0.0008890781455714881
cifar-10,slow_poison,1.0,L2,3,0.7169357361479453,0.022108951634540935,0.0019993022626232644,0.0008890781455714881
cifar-10,slow_poison,1.0,Final,3,0.7169357361479453,0.022108951634540935,0.0019993022626232644,0.0008890781455714881
fashion-mnist,alie,0.1,L1,3,0.011542480507997749,0.005252182769283795,0.06752291952699412,0.004193573404090448
fashion-mnist,alie,0.1,L2,3,0.07730086005948077,0.015134572704945467,0.09980217606330366,0.00034264110931135123
fashion-mnist,alie,0.1,Final,3,0.07730086005948077,0.015134572704945467,0.09980217606330366,0.00034264110931135123
