attack,alpha,module,DR_cifar,DR_fashion,delta_DR,FPR_cifar,FPR_fashion,delta_FPR
slow_poison,0.1,Final,0.8079515586684874,0.7810405425024802,0.026911016166007218,0.4347283740904114,0.11057412927670018,0.3241542448137112
slow_poison,0.1,L1,0.003580238756001938,0.0,0.003580238756001938,0.03964601262540932,0.0748626820782899,0.03521666945288058
slow_poison,0.1,L2,0.8079515586684874,0.7810405425024802,0.026911016166007218,0.4347283740904114,0.11057412927670018,0.3241542448137112
slow_poison,0.25,Final,0.7718629187613986,0.7479115322757934,0.02395138648560513,0.0935946293681492,0.07364522301482851,0.019949406353320695
slow_poison,0.25,L1,0.003436426116838488,0.0,0.003436426116838488,0.03832815928925586,0.07266247078716022,0.034334311497904356
slow_poison,0.25,L2,0.7718629187613986,0.7479115322757934,0.02395138648560513,0.0935946293681492,0.07364522301482851,0.019949406353320695
slow_poison,0.5,Final,0.8127492399988396,0.6960226107512929,0.11672662924754673,0.014583997085909609,0.0035182742548335705,0.011065722831076038
slow_poison,0.5,L1,0.0035155689481991674,0.0,0.0035155689481991674,0.0019693449758338005,0.002020215891500369,5.0870915666568345e-05
slow_poison,0.5,L2,0.8127492399988396,0.6960226107512929,0.11672662924754673,0.014583997085909609,0.0035182742548335705,0.011065722831076038
slow_poison,1.0,Final,0.7169357361479453,0.6930126002290952,0.02392313591885009,0.0019993022626232644,0.014370058776582845,0.01237075651395958
slow_poison,1.0,L1,0.0,0.0,0.0,0.0019993022626232644,0.01189200629654616,0.009892704033922894
slow_poison,1.0,L2,0.7169357361479453,0.6930126002290952,0.02392313591885009,0.0019993022626232644,0.014370058776582845,0.01237075651395958
