config,attack,alpha,n_seeds,DR_mean,DR_std,DR_sem,DR_min,DR_max,DR_n,FPR_mean,FPR_std,FPR_sem,FPR_min,FPR_max,FPR_n,acc_mean,acc_std,acc_sem,acc_min,acc_max,acc_n,ASR_mean,ASR_std,ASR_sem,ASR_min,ASR_max,ASR_n,gas_flagged_count_mean,gas_flagged_count_std,gas_flagged_count_sem,gas_flagged_count_min,gas_flagged_count_max,gas_flagged_count_n,gas_only_caught_mean,gas_only_caught_std,gas_only_caught_sem,gas_only_caught_min,gas_only_caught_max,gas_only_caught_n,gas_false_flag_mean,gas_false_flag_std,gas_false_flag_sem,gas_false_flag_min,gas_false_flag_max,gas_false_flag_n
G_ON,alie,0.5,6,0.22215969215969217,0.11261839184889827,0.0072694859351240685,0.0,0.6666666666666666,240,0.07236787587842156,0.0635167430263907,0.004099988132442454,0.0,0.3333333333333333,240,0.6427145833333333,0.07362717625651327,0.004752613791162567,0.429,0.755,240,,,,,,0,1.8916666666666666,1.1300078374470557,0.07294169225860507,0.0,5.0,240,0.25416666666666665,0.5072521483251443,0.03274298537985364,0.0,2.0,240,0.5541666666666667,0.6510237619574218,0.04202340313410661,0.0,3.0,240
G_ON,alie,1.0,6,0.1822372534872535,0.1689013968331624,0.010902538284766802,0.0,0.625,240,0.08275625196097332,0.0594400544591773,0.003836839016967593,0.0,0.26666666666666666,240,0.6437062499999999,0.07385218020778746,0.004767137733764497,0.4635,0.7625,240,,,,,,0,2.6,1.7709888970968077,0.11431684174623628,0.0,7.0,240,1.2875,1.2086897709268067,0.078020589225513,0.0,5.0,240,1.2958333333333334,1.0589246802214725,0.06835329418976295,0.0,5.0,240
G_ON,gaussian_noise,0.1,6,1.0,0.0,0.0,1.0,1.0,240,0.3428817682324842,0.10159412992943667,0.006557872888152345,0.06666666666666667,0.6875,240,0.49283750000000004,0.11777700655925408,0.007602473082835879,0.19,0.6865,240,,,,,,0,7.7875,1.1501546194036543,0.07424216144189805,4.0,11.0,240,0.0,0.0,0.0,0.0,0.0,240,0.5125,0.720188550392989,0.04648797103002179,0.0,3.0,240
G_ON,gaussian_noise,0.25,6,1.0,0.0,0.0,1.0,1.0,240,0.09195249920143496,0.04995819926375713,0.003224787895917383,0.0,0.2,240,0.6225937500000001,0.09492784400516331,0.006127565982056218,0.336,0.7525,240,,,,,,0,7.829166666666667,1.1962210955105628,0.07721573968824003,5.0,11.0,240,0.0,0.0,0.0,0.0,0.0,240,0.6083333333333333,0.5533592102971103,0.03571918343251993,0.0,3.0,240
G_ON,gaussian_noise,0.5,6,1.0,0.0,0.0,1.0,1.0,240,0.014124903250773995,0.026123038584634817,0.0016862348898437404,0.0,0.1111111111111111,240,0.6763375,0.08177291913186957,0.005278419232808278,0.44,0.797,240,,,,,,0,7.220833333333333,1.2019785525229825,0.07758738194033346,4.0,10.0,240,0.0,0.0,0.0,0.0,0.0,240,0.04583333333333333,0.2286565579168508,0.01475971734688458,0.0,2.0,240
G_ON,gaussian_noise,1.0,6,1.0,0.0,0.0,1.0,1.0,240,0.009992669582452865,0.027025215122402264,0.0017444701349456134,0.0,0.16666666666666666,240,0.6813291666666667,0.09007235575507715,0.00581414556321806,0.4775,0.8,240,,,,,,0,7.370833333333334,1.331931358461882,0.0859757994935715,3.0,10.0,240,0.0,0.0,0.0,0.0,0.0,240,0.18333333333333332,0.5007664975582018,0.032324338423025546,0.0,3.0,240
G_ON,label_flip,0.1,6,0.4726059704184704,0.17709264703333252,0.011431281211598086,0.0,1.0,240,0.434190875827389,0.13391706819301694,0.00864430958140796,0.14285714285714285,0.8,240,0.46140416666666667,0.09879885944138075,0.006377438954012584,0.2015,0.624,240,,,,,,0,2.725,2.043307270703665,0.13189491717699706,0.0,9.0,240,0.55,0.7008661706212813,0.04524071677893981,0.0,3.0,240,1.8833333333333333,1.553418868596303,0.10027275679596416,0.0,6.0,240
G_ON,label_flip,0.25,6,0.34689258658008654,0.1504409539178669,0.009710921818524267,0.0,1.0,240,0.09887825986219949,0.0514768929934499,0.0033228191546355455,0.0,0.21052631578947367,240,0.6149541666666667,0.08428119639782207,0.005440327834120023,0.407,0.7505,240,,,,,,0,2.9208333333333334,1.4427655819318854,0.09313011785505741,0.0,8.0,240,0.7416666666666667,0.7707610034292424,0.04975240883645955,0.0,3.0,240,1.1291666666666667,0.8053062343616949,0.05198229390466419,0.0,4.0,240
G_ON,label_flip,0.5,6,0.36424768518518513,0.13145796688255026,0.008485575274373389,0.0,0.8,240,0.07198621553884711,0.0635117563959027,0.004099666246828559,0.0,0.25,240,0.64735,0.0692441741125964,0.0044696922193328764,0.4455,0.755,240,,,,,,0,3.075,1.3423422980701625,0.08664782275559219,0.0,7.0,240,0.5166666666666667,0.7541609356602023,0.04868087906953611,0.0,4.0,240,0.5958333333333333,0.8125476061581631,0.052449722444187816,0.0,4.0,240
G_ON,label_flip,1.0,6,0.2472065897065897,0.15927961414681854,0.010281454883016192,0.0,0.8333333333333334,240,0.06722572322901271,0.05863279389155043,0.003784730571393113,0.0,0.25,240,0.6496604166666666,0.07402997736013985,0.004778614490598895,0.442,0.7905,240,,,,,,0,2.7875,1.5687354660181225,0.10126143890821866,0.0,8.0,240,1.5458333333333334,1.0579364008166763,0.06828950102849336,0.0,6.0,240,1.0291666666666666,0.974133738838592,0.06288006245834386,0.0,4.0,240
